[2026-05-17T18:10:54.649Z] GET https://github.com/carlosazaustre/tenacitOS → pending (?ms, ?B)
[2026-05-17T18:10:58.496Z] GET https://github.githubassets.com/assets/light-2ff56e1b36116ee2.css → 200 (80ms, 76753B)
[2026-05-17T18:10:58.496Z] GET https://github.githubassets.com/assets/light_high_contrast-f7f95d7633592089.css → 200 (80ms, 77375B)
[2026-05-17T18:10:58.496Z] GET https://github.githubassets.com/assets/dark-2d1fe43dbc9adf1f.css → 200 (117ms, 76585B)
[2026-05-17T18:10:58.496Z] GET https://github.githubassets.com/assets/dark_high_contrast-d530ee188d165539.css → 200 (84ms, 77269B)
[2026-05-17T18:10:58.496Z] GET https://github.githubassets.com/assets/primer-primitives-7f694b60439d06c0.css → 200 (103ms, 10021B)
[2026-05-17T18:10:58.496Z] GET https://github.githubassets.com/assets/primer-bf8570e4081bd07e.css → 200 (117ms, 412358B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/global-5efd63e783ac04bb.css → 200 (93ms, 298845B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/github-f825c0edd7ad57f8.css → 200 (76ms, 157628B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/repository-0751f482f5210958.css → 200 (78ms, 31143B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/code-c4c2752e0df2fb31.css → 200 (108ms, 32242B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/high-contrast-cookie-771a5d64a9997172.js → 200 (138ms, 1120B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/wp-runtime-9f3a02f9972fae6b.js → 200 (304ms, 51556B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/fetch-utilities-18f7f90effa3f0dd.js → 200 (305ms, 7369B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/28839-28bb58f695d5e365.js → 200 (305ms, 19836B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/85924-1f0f5f61600f9c8e.js → 200 (302ms, 13482B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/34646-3b3c3c313ce5ddeb.js → 200 (301ms, 17199B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/environment-53f425896e39574b.js → 200 (302ms, 20205B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/runtime-helpers-6e561c87b9671d53.js → 200 (299ms, 2743B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/2966-db5d6e7392243767.js → 200 (379ms, ?B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/96232-2f91b960d23e9fb6.js → 200 (379ms, ?B)
[2026-05-17T18:10:58.505Z] GET https://github.githubassets.com/assets/41013-ce9f0a483fa6f641.js → 200 (376ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/51210-07f0116b9064d4ba.js → 200 (373ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/81058-4b90d5ffbf765928.js → 200 (378ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/81683-6e791542fe2f37ce.js → 200 (378ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/46740-4421ca06d57312cc.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/26859-860fabe66e46c274.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/44156-e3af230368d84cf1.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/github-elements-b02944871e808357.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/element-registry-93dd2f58d7d84d31.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/react-core-3a0bc3d3c10a831f.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/react-lib-493beffaa1062d35.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/79039-f2b81734929d0b15.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/61110-f40600dc68e4c6b0.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/2887-d67f71d8e1d3e1d8.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/26533-318ac47648fb7752.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/86483-00384068b148f370.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/49521-900eb9434ea3a3be.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/60481-2e0070b5d23b633a.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/46287-1fd98f482f71d12a.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/33805-370111b2dad9b744.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/89627-12a64f4329866bd1.js → pending (?ms, ?B)
[2026-05-17T18:10:58.506Z] GET https://github.githubassets.com/assets/79087-909cf11697b5f298.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/49029-3a132de206358025.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/99328-82a96596275fbd3e.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/behaviors-562601653a2bcbb7.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/react-core.06bbbc99d75f3438.module.css → 200 (123ms, 446B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/4244-23afe633cce1a60f.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/notifications-global-f606f675f96cab09.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/19262-bb9ee74f400ec0d8.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/17432-53b7da693b37b63d.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/19930-bb2b3a42ab662902.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/codespaces-842195fa2d6528a0.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/81730-6970e138371d9dc1.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/70206-61154d4f392ace98.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/repositories-569e334544e26a96.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/39373-492474704424a123.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/code-menu-e8e8599937052467.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/primer-react-4f74cec369e1e63b.js → pending (?ms, ?B)
[2026-05-17T18:10:58.507Z] GET https://github.githubassets.com/assets/octicons-react-44319dfc86806a23.js → pending (?ms, ?B)
[2026-05-17T18:10:58.508Z] GET https://github.githubassets.com/assets/89602-ec245454983f1a54.js → pending (?ms, ?B)
